gilticker,corp_name,ESG,E,S,G
018670,SK가스,A,A,A+,A
001740,SK네트웍스,A+,A,A+,A+
006120,SK디스커버리,A,A,A+,A
210980,SK디앤디,A,A,A+,A
302440,SK바이오사이언스,A,B+,A+,A
402340,SK스퀘어,A+,A,A+,A+
361610,SK아이이테크놀로지,A,A,A+,A
100090,SK오션플랜트,A+,A+,A+,A
096770,SK이노베이션,A+,A,A+,A+
001510,SK증권,B+,A,B+,B+
285130,SK케미칼,A+,A+,A+,A+
017670,SK텔레콤,A,A,A+,A
000660,SK하이닉스,B+,A,A+,B
048550,SM C&C,D,D,D,D
063440,SM Life Design,D,D,D,D
003570,SNT다이내믹스,C,C,D,C
064960,SNT모티브,C,C,C,C
100840,SNT에너지,C,C,D,B
036530,SNT홀딩스,B,C,D,B+
067160,SOOP,B+,B,A,B+
005610,SPC삼립,B,B,C,B
011810,STX,D,D,C,D
077970,STX엔진,D,C,C,D
002820,SUN&L,C,C,C,B
002710,TCC스틸,C,B,A,D
007980,TP,C,C,C,C
002900,TYM,B+,B+,A,B
024070,WISCOM,C,C,D,C
037270,YG PLUS,D,D,D,D
139130,iM금융지주,A,A+,A,A
000500,가온전선,B,A,A,C
000860,강남제비스코,B+,A,B+,B+
035250,강원랜드,A,A,A,A
114190,강원에너지,D,C,D,D
094480,갤럭시아머니트리,C,D,C,B
011420,갤럭시아에스엠,D,D,D,D
192520,경남은행,등급없음,등급없음,등급없음,B+
002100,경농,C,C,D,B
009450,경동나비엔,A,B+,A+,B+
267290,경동도시가스,B,C,B+,B
012320,경동인베스트,B,C,B+,B
000050,경방,C,C,D,C
214390,경보제약,B+,B+,A,B
012610,경인양행,B+,B+,B+,B
009140,경인전자,D,D,D,D
013580,계룡건설산업,B,B+,C,B+
012200,계양전기,D,C,C,D
002140,고려산업,D,D,D,C
010130,고려아연,B+,B+,A,B+
002240,고려제강,D,C,D,D
098460,고영,B+,B,A,B
215000,골프존,B+,A,A,B+
009290,광동제약,C,B+,C,C
017040,광명전기,C,C,D,C
017900,광전자,C,C,D,C
037710,광주신세계,A,A,A+,A
192530,광주은행,등급없음,등급없음,등급없음,B+
811097,교보생명보험,등급없음,등급없음,등급없음,B+
030610,교보증권,B+,A,A,B+
339770,교촌에프앤비,D,D,D,C
007690,국도화학,C,C,B,C
060000,국민은행,등급없음,등급없음,등급없음,A
001140,국보,D,C,D,D
002720,국제약품,D,D,D,C
083420,그린케미칼,C,C,D,C
014530,극동유화,D,C,D,D
014280,금강공업,D,C,D,D
008870,금비,D,D,D,C
001570,금양,D,C,D,D
002990,금호건설,B+,B,A,B
011780,금호석유화학,B+,A,A+,B
214330,금호에이치티,D,C,D,D
001210,금호전기,D,C,D,D
073240,금호타이어,B+,A,B+,B+
092440,기신정기,D,D,D,C
000270,기아,A,A+,A+,B+
024110,기업은행,A,A+,A+,A
013700,까뮤이앤씨,C,D,D,B
004540,깨끗한나라,B,B,B+,B
121600,나노신소재,C,C,D,C
089600,나스미디어,B+,B+,A,B+
293580,나우IB,D,D,D,C
001260,남광토건,D,D,D,D
008350,남선알미늄,D,C,D,D
004270,남성,D,D,D,D
003920,남양유업,B,A,A+,C
025860,남해화학,C,C,D,C
095660,네오위즈,C,D,D,B+
007390,네이처셀,D,C,D,D
033640,네패스,C,B,B+,D
005720,넥센,B+,B+,A,B
002350,넥센타이어,B,A,A+,C
348210,넥스틴,C,B,B,D
225570,넥슨게임즈,D,D,D,C
217270,넵튠,C,D,C,B
251270,넷마블,A,B+,A+,A
090350,노루페인트,A,A,A+,B+
000320,노루홀딩스,A,A,A+,B+
006280,녹십자,B+,A,A+,B
005250,녹십자홀딩스,A,A,A+,B+
004370,농심,B,A,B+,C
072710,농심홀딩스,B,B+,B+,B
054050,농우바이오,C,D,D,B
839683,농협금융지주,등급없음,등급없음,등급없음,A
839723,농협생명보험,등급없음,등급없음,등급없음,A
839742,농협은행,등급없음,등급없음,등급없음,A
058730,다스코,C,C,D,B
030210,다올투자증권,B+,A,A,B+
023590,다우기술,A,A,A+,B+
032190,다우데이타,D,D,C,D
068240,다원시스,D,D,D,D
145210,다이나믹디자인,D,C,D,D
019680,대교,B,D,B+,B+
006370,대구백화점,C,D,C,B
008060,대덕,B+,B+,A,B
353200,대덕전자,B+,B+,A,B
000490,대동,B+,B+,A+,B
008110,대동전자,D,D,D,D
005750,대림바스,C,C,C,C
006570,대림통상,D,C,C,D
001680,대상,A,A,A+,B+
084690,대상홀딩스,B,A,A+,C
128820,대성산업,C,C,B,D
117580,대성에너지,B,B+,A,C
016710,대성홀딩스,C,B+,A,D
003540,대신증권,B+,B+,A,B+
009190,대양금속,D,C,C,D
014160,대영포장,D,D,D,D
047040,대우건설,A,A,B+,A
003090,대웅,B+,B+,A,B
069620,대웅제약,B,B+,A,C
000430,대원강업,B+,B+,A,B+
006340,대원전선,D,C,D,D
003220,대원제약,B+,B+,A,B+
024890,대원화성,D,C,D,D
078600,대주전자재료,B+,B,A,B
012800,대창,D,C,D,D
015230,대창단조,C,C,D,C
001070,대한방직,C,C,D,C
006650,대한유화,B+,B+,B+,B
001440,대한전선,A,A,A+,B+
084010,대한제강,C,C,C,C
001790,대한제당,C,C,D,C
001130,대한제분,C,C,C,C
003490,대한항공,B+,B+,A,B+
005880,대한해운,D,C,D,D
003830,대한화섬,B+,B,A,B+
016090,대현,C,D,D,B+
069460,대호에이엘,D,C,C,D
298540,더네이쳐홀딩스,D,D,D,D
192080,더블유게임즈,C,D,D,B+
393890,더블유씨피,D,C,C,D
012510,더존비즈온,C,C,D,C
213420,덕산네오룩스,D,C,D,D
004830,덕성,C,C,D,C
194480,데브시스터즈,C,D,D,B
145720,덴티움,D,D,D,D
002150,도화엔지니어링,C,C,C,B
086450,동국제약,C,B+,A,D
001230,동국홀딩스,A,B+,A+,B+
023450,동남합성,D,D,D,C
004140,동방,C,B,B,C
007590,동방아그로,C,D,D,B
005960,동부건설,B+,B+,B+,B
026960,동서,C,C,C,C
002210,동성제약,D,D,D,D
102260,동성케미컬,A,A,A+,A
000640,동아쏘시오홀딩스,A+,A,A+,A+
170900,동아에스티,A,A,A+,A
028100,동아지질,D,C,C,D
282690,동아타이어,D,D,D,D
001520,동양,C,B,B,C
084670,동양고속,D,C,D,D
082640,동양생명,B+,C,B+,B+
008970,동양철관,D,C,D,D
092780,동양피스톤,C,C,C,C
049770,동원F&B,B,A,A,C
018500,동원금속,C,B,D,B
006040,동원산업,B,A,A,C
030720,동원수산,D,D,D,D
014820,동원시스템즈,B+,B+,A+,B
163560,동일고무벨트,B+,B+,A,B+
004890,동일산업,C,C,D,B+
002690,동일제강,D,C,D,D
005290,동진쎄미켐,B,A,A,C
025900,동화기업,D,D,C,D
000020,동화약품,C,B,B,C
000150,두산,A,A,A+,B+
241560,두산밥캣,A,B+,A,A
034020,두산에너빌리티,B+,A,A,B
131970,두산테스나,B+,B+,A,B+
336260,두산퓨얼셀,A,A,A+,B+
016740,두올,D,D,C,C
060570,드림어스컴퍼니,C,C,C,C
192650,드림텍,C,C,D,B
024090,디씨엠,C,D,D,B+
003160,디아이,D,C,C,D
001530,디아이동일,D,D,D,C
092200,디아이씨,C,C,B,D
376300,디어유,D,D,D,D
013570,디와이,C,D,D,B
024900,디와이덕양,D,D,D,D
210540,디와이파워,C,C,D,B+
885673,라이나생명보험,등급없음,등급없음,등급없음,B
115390,락앤락,B+,A,A,B
281740,레이크머티리얼즈,C,C,D,C
277810,레인보우로보틱스,D,D,D,D
090360,로보스타,D,D,D,C
032350,롯데관광개발,D,D,D,D
089860,롯데렌탈,A,A,A,A
000400,롯데손해보험,B+,C,A,B+
023530,롯데쇼핑,A,A,A+,A
020150,롯데에너지머티리얼즈,C,B,B+,C
280360,롯데웰푸드,A,A,A,A
286940,롯데이노베이트,A,A,A+,A
004000,롯데정밀화학,A,A,A+,A
004990,롯데지주,A,A,A+,A
005300,롯데칠성음료,A,A+,A+,B+
854231,롯데카드,등급없음,등급없음,등급없음,A
855981,롯데캐피탈,등급없음,등급없음,등급없음,B
011170,롯데케미칼,A,A,A+,B+
071840,롯데하이마트,A,A,A+,A
328130,루닛,B,C,B+,B
141080,리가켐바이오,B+,B,A,B
058470,리노공업,D,C,D,D
073570,리튬포어스,D,D,D,D
027740,마니커,D,D,D,C
001080,만호제강,D,C,D,D
267980,매일유업,A,A,A+,A
067280,멀티캠퍼스,D,D,D,C
215200,메가스터디교육,D,D,D,D
086900,메디톡스,B,B+,B+,C
138040,메리츠금융지주,A,A,A,A
008560,메리츠증권,등급없음,등급없음,등급없음,B
867865,메리츠캐피탈,등급없음,등급없음,등급없음,B+
000060,메리츠화재해상보험,등급없음,등급없음,등급없음,B+
021880,메이슨캐피탈,D,D,D,D
140410,메지온,D,D,D,D
090370,메타랩스,D,D,D,D
118000,메타케어,D,D,D,D
832969,메트라이프생명보험,등급없음,등급없음,등급없음,B
017180,명문제약,D,D,D,C
009900,명신산업,C,C,C,C
012690,모나리자,A,A,A+,A
005360,모나미,D,D,C,D
070960,모나용평,D,C,D,D
417970,모델솔루션,C,D,D,B
080160,모두투어,C,D,D,B+
009680,모토닉,C,C,C,B
118990,모트렉스,D,C,D,D
009580,무림P&P,A,A,A,B+
009200,무림페이퍼,B+,A,B+,B+
033920,무학,D,C,D,D
008420,문배철강,D,D,C,C
095500,미래나노텍,C,C,B,D
025560,미래산업,D,D,D,D
007120,미래아이앤지,D,D,D,D
100790,미래에셋벤처투자,C,D,D,B
085620,미래에셋생명,B+,B+,A,B+
006800,미래에셋증권,A,A+,A,B+
840265,미래에셋캐피탈,등급없음,등급없음,등급없음,B+
081660,미스토홀딩스,B+,B+,A,B
002840,미원상사,C,C,D,C
268280,미원에스씨,B,C,B,B+
107590,미원홀딩스,C,C,B,C
134380,미원화학,C,C,C,B
003650,미창석유공업,D,C,D,D
377740,바이오노트,D,D,D,C
064550,바이오니아,D,D,D,C
043150,바텍,D,D,D,D
323990,박셀바이오,C,D,D,B
003610,방림,C,C,D,C
035150,백산,C,C,C,C
002410,범양건영,D,D,C,D
007210,벽산,B+,B+,B+,B
002760,보락,D,D,D,C
003850,보령,A,A,A+,B+
310210,보로노이,D,D,D,C
000890,보해양조,D,D,D,C
003000,부광약품,B+,B,A+,B+
001270,부국증권,C,D,B,C
026940,부국철강,D,D,D,D
011390,부산산업,D,C,D,D
005280,부산은행,등급없음,등급없음,등급없음,B+
005030,부산주공,C,C,C,C
002070,비비안,D,D,D,D
100220,비상교육,B,D,B,B
837726,비씨카드,등급없음,등급없음,등급없음,B
090460,비에이치,C,B,B+,C
878437,비엠더블유파이낸셜서비스코리아,등급없음,등급없음,등급없음,C
005180,빙그레,A,A,A+,A
143240,사람인,C,D,C,C
003960,사조대림,A,A,A,B+
008040,사조동아원,B,B+,A,C
007160,사조산업,B+,B+,B+,B+
014710,사조씨푸드,B,C,B+,B
006090,사조오양,B,B+,A,C
008270,산은캐피탈,등급없음,등급없음,등급없음,B
001470,삼부토건,D,C,C,D
028050,삼성E&A,A,A,A,A
006400,삼성SDI,A+,A+,A+,A
006660,삼성공조,D,D,C,C
028260,삼성물산,A,A,A+,A
207940,삼성바이오로직스,A,A,A+,A
032830,삼성생명,A,A,A+,B+
018260,삼성에스디에스,A,B+,A+,A
009150,삼성전기,A,A,A+,A
005930,삼성전자,B+,B+,A,B
001360,삼성제약,D,D,D,D
010140,삼성중공업,A,A,A,B+
016360,삼성증권,A,A+,A,B+
068290,삼성출판사,C,D,D,B+
029780,삼성카드,A,A+,A+,A
000810,삼성화재해상보험,B+,A,A,B+
006110,삼아알미늄,C,C,D,C
145990,삼양사,A,A+,A+,B+
003230,삼양식품,A,A,A+,A
002170,삼양통상,C,C,D,B
272550,삼양패키징,B,A,A,C
000070,삼양홀딩스,A,A,A+,B+
003720,삼영,D,C,D,D
002810,삼영무역,C,D,D,B+
005680,삼영전자공업,C,C,D,C
023000,삼원강재,B+,B+,B+,A
004380,삼익THK,C,C,C,B
002450,삼익악기,D,D,D,D
004440,삼일씨엔에스,C,C,D,C
000520,삼일제약,C,D,C,B
009770,삼정펄프,D,C,D,D
005500,삼진제약,B,C,B,B+
000250,삼천당제약,D,C,D,D
004690,삼천리,C,B,B+,C
038500,삼표시멘트,A,A,A+,A
010960,삼호개발,B+,B+,A,B+
004450,삼화왕관,C,C,D,C
009470,삼화전기,D,C,C,D
011230,삼화전자공업,D,D,D,D
001820,삼화콘덴서공업,C,C,C,C
000390,삼화페인트공업,B+,B+,B+,B+
001290,상상인증권,C,D,C,C
041650,상신브레이크,C,C,C,C
089980,상아프론테크,B,B+,B+,C
075180,새론오토모티브,D,C,D,D
007540,샘표,C,C,B+,C
248170,샘표식품,C,C,B+,D
006730,서부T&D,D,C,D,D
007860,서연,B+,B+,A,B+
200880,서연이화,B+,B+,A,B+
017390,서울도시가스,C,C,C,C
046890,서울반도체,C,C,D,C
813002,서울보증보험,등급없음,등급없음,등급없음,B
004410,서울식품공업,D,C,D,D
021050,서원,C,C,D,C
178320,서진시스템,D,C,C,D
008490,서흥,C,B+,A,D
007610,선도전기,D,C,C,D
136490,선진,A,B,A,A
014910,성문전자,D,C,D,D
004980,성신양회,C,B+,A,D
011300,성안머티리얼스,D,D,D,D
015750,성우하이텍,C,B,A,D
365340,성일하이텍,C,C,C,C
000180,성창기업지주,D,C,D,D
002420,세기상사,C,D,D,B
004360,세방,C,B,C,C
004490,세방전지,C,C,C,C
001430,세아베스틸지주,A,A,B+,A
306200,세아제강,B+,B+,B+,B+
003030,세아제강지주,B+,B+,B+,B+
019440,세아특수강,B+,B+,B+,B+
058650,세아홀딩스,B+,A,A,B+
013000,세우글로벌,D,D,D,D
091090,세원이앤씨,D,D,D,D
021820,세원정공,C,C,C,C
067830,세이브존I&C,D,D,D,C
075580,세진중공업,C,C,D,C
108860,셀바스AI,D,D,D,D
068270,셀트리온,A,A,A+,A
068760,셀트리온제약,D,C,C,D
336370,솔루스첨단소재,B+,B,B+,B+
248070,솔루엠,B+,B+,B+,B
357780,솔브레인,B+,B+,A+,B
036830,솔브레인홀딩스,B+,B+,A+,B
004430,송원산업,C,B+,B+,D
017550,수산세보틱스,D,C,D,D
126720,수산인더스트리,C,C,D,C
204210,스타에스엠리츠,D,D,D,D
253450,스튜디오드래곤,A,A+,A,B+
026890,스틱인베스트먼트,B+,B+,A,B
033170,시그네틱스,C,C,C,C
134790,시디즈,D,C,D,D
000480,시알홀딩스,C,C,B,C
016590,신대양제지,D,C,D,D
029530,신도리코,D,C,D,D
004970,신라교역,D,D,D,C
215600,신라젠,D,D,D,C
065350,신성델타테크,C,C,D,B
011930,신성이엔지,C,C,C,C
005390,신성통상,D,D,D,D
004170,신세계,A,A,A+,A
035510,신세계I&C,A,A,A+,A
034300,신세계건설,B+,B+,B+,B+
031430,신세계인터내셔날,A,A,A,A
031440,신세계푸드,A,A,A+,A
006880,신송홀딩스,D,D,D,D
005800,신영와코루,D,D,D,D
001720,신영증권,B+,B+,A,B+
009270,신원,B+,B,A,B+
002700,신일전자,D,D,D,C
002870,신풍,D,D,D,C
019170,신풍제약,C,C,B+,D
828992,신한라이프생명보험,등급없음,등급없음,등급없음,A
000010,신한은행,등급없음,등급없음,등급없음,B+
055550,신한지주,A+,A+,A,A+
032710,신한카드,등급없음,등급없음,등급없음,A
811323,신한캐피탈,등급없음,등급없음,등급없음,A
008670,신한투자증권,등급없음,등급없음,등급없음,A
056700,신화인터텍,C,C,C,B
004080,신흥,D,D,D,D
222800,심텍,A,B+,A+,B+
102280,쌍방울,D,D,D,D
000nan,,,,,
004770,써니전자,D,C,D,D
403550,쏘카,C,D,D,B
222080,씨아이에스,C,C,C,C
004920,씨아이테크,D,D,D,D
112610,씨에스윈드,A,A,B+,A
096530,씨젠,B+,B,A,B+
308170,씨티알모빌리티,B,B,C,B
025980,아난티,C,B,B,D
008700,아남전자,D,D,D,C
090430,아모레퍼시픽,A,A,A+,A
002790,아모레퍼시픽홀딩스,A+,A,A+,A+
002030,아세아,A,A,A,A
183190,아세아시멘트,A,A,A,B+
002310,아세아제지,B+,B+,A,B
012170,아센디오,D,D,D,D
267850,아시아나IDT,B,C,B+,B
020560,아시아나항공,B+,A,B+,B+
122900,아이마켓코리아,B,C,B+,B
829322,아이비케이연금보험,등급없음,등급없음,등급없음,B
828519,아이비케이캐피탈,등급없음,등급없음,등급없음,B
809467,아이비케이투자증권,등급없음,등급없음,등급없음,B
099190,아이센스,B,C,B+,B+
010780,아이에스동서,C,B,B+,C
003560,아이에이치큐,D,D,C,D
005270,아이엠뱅크,등급없음,등급없음,등급없음,B+
084850,아이티엠반도체,B+,B+,A,B
027360,아주IB투자,B,C,A,B
139990,아주스틸,D,C,D,D
009320,아진전자부품,D,D,D,D
053800,안랩,A,B+,A+,B+
001780,알루코,C,B,B,C
196170,알테오젠,C,D,C,B
018250,애경산업,A,A,A+,A
161000,애경케미칼,B+,B+,A,B+
011090,에넥스,D,C,D,D
137310,에스디바이오센서,C,C,B,D
101490,에스앤에스텍,C,D,D,B+
056190,에스에프에이,C,C,C,B
005850,에스엘,B,B+,A,C
041510,에스엠,B+,A,B+,B+
010580,에스엠벡셀,D,D,D,C
007820,에스엠코어,C,D,C,C
012750,에스원,B+,B+,A,B+
123700,에스제이엠,C,C,C,C
025530,에스제이엠홀딩스,C,C,C,C
326030,에스케이바이오팜,A,B+,A+,A
052020,에스티큐브,D,D,D,D
237690,에스티팜,A,A,A+,B+
058610,에스피지,D,D,D,C
023960,에쓰씨엔지니어링,D,C,D,D
298690,에어부산,C,B+,B+,D
140910,에이리츠,C,D,D,B
078520,에이블씨엔씨,B+,B,B+,B+
298380,에이비엘바이오,C,D,D,B+
804337,에이비엘생명보험,등급없음,등급없음,등급없음,B+
801688,에이아이에이생명보험,등급없음,등급없음,등급없음,B
015260,에이엔피,D,C,D,D
007460,에이프로젠,D,D,D,D
003060,에이프로젠바이오로직스,D,C,D,D
244920,에이플러스에셋,D,D,D,C
230240,에치에프알,D,D,D,D
230360,에코마케팅,C,D,D,B
086520,에코프로,C,B,B+,D
247540,에코프로비엠,C,B,B+,D
383310,에코프로에이치엔,B,B,B,B+
036810,에프에스티,C,C,D,C
019490,엑시큐어하이트론,D,C,D,D
036570,엔씨소프트,A,B+,A+,A
806955,엔에이치농협캐피탈,등급없음,등급없음,등급없음,A
181710,엔에이치엔,A,A,A+,A
085310,엔케이,D,D,D,D
182400,엔케이맥스,D,D,D,D
348370,엔켐,D,C,C,D
004250,엔피씨,D,C,C,D
290650,엘앤씨바이오,C,D,D,B+
066970,엘앤에프,B,B+,A,C
010120,엘에스일렉트릭,A,A,A,A
058970,엠로,D,D,D,C
097520,엠씨넥스,B,C,B+,B+
014440,영보화학,D,C,C,D
111770,영원무역,B+,B+,B+,B+
009970,영원무역홀딩스,A,B+,B+,A
003520,영진약품,B+,B+,A,B+
000670,영풍,B,C,B,B+
036560,영풍정밀,B+,B+,A,B+
006740,영풍제지,D,C,D,D
012280,영화금속,D,C,D,D
012160,영흥,C,C,D,C
007310,오뚜기,A,A,A+,B+
002630,오리엔트바이오,D,D,D,D
271560,오리온,A,A,A,B+
001800,오리온홀딩스,A,A,A,A
010470,오리콤,B,D,C,B+
039200,오스코텍,D,D,D,D
005320,온타이드,D,D,D,D
273060,와이즈버즈,D,D,D,C
122870,와이지엔터테인먼트,B,A,C,B+
011690,와이투솔루션,C,C,C,C
316140,우리금융지주,A,A+,A,B+
033660,우리금융캐피탈,등급없음,등급없음,등급없음,B
041190,우리기술투자,D,D,D,D
000030,우리은행,등급없음,등급없음,등급없음,B+
010050,우리종합금융,등급없음,등급없음,등급없음,B+
879070,우리카드,등급없음,등급없음,등급없음,A
006980,우성,D,D,C,D
017370,우신시스템,C,D,D,B
105840,우진,C,D,C,B
010400,우진아이엔에스,C,C,C,B
049800,우진플라임,D,C,D,D
016880,웅진,B,C,B+,B
095720,웅진씽크빅,B,B,A+,C
005820,원림,D,D,D,C
240810,원익IPS,B,B,A,C
074600,원익QnC,C,B+,A,D
336570,원텍,D,D,D,D
010600,웰바이오텍,D,D,D,D
069080,웹젠,B,D,C,B+
112040,위메이드,C,B+,A,C
008600,윌비스,D,D,C,D
033270,유나이티드,B+,B,B+,B+
014830,유니드,B,B,B+,B
446070,유니드비티플러스,C,C,C,C
018000,유니슨,C,C,C,B
000910,유니온,C,C,C,B
047400,유니온머티리얼,C,C,D,C
011330,유니켐,D,C,D,D
077500,유니퀘스트,D,D,D,C
086390,유니테스트,C,D,C,C
002920,유성기업,C,C,C,B
000700,유수홀딩스,B+,B+,A,B+
003470,유안타증권,C,C,D,B
072130,유엔젤,D,D,D,D
000220,유유제약,C,D,C,C
023410,유진기업,D,D,D,D
001200,유진증권,C,B,D,B
084370,유진테크,C,C,C,C
000100,유한양행,A,B+,A+,A
003460,유화증권,D,D,D,C
372170,윤성에프앤씨,C,C,D,C
008730,율촌화학,C,C,C,C
008250,이건산업,D,D,D,D
025820,이구산업,C,C,D,B
214320,이노션,A,A,A+,B+
272290,이녹스첨단소재,B+,B+,B,B+
053350,이니텍,B,C,C,B+
139480,이마트,A,A,A,A
007660,이수페타시스,B,B+,A,C
005950,이수화학,B,B+,B+,C
015020,이스타코,D,D,D,D
093230,이아이디,D,D,D,D
074610,이엔플러스,D,C,D,D
091120,이엠텍,D,D,D,C
102460,이연제약,C,D,D,B+
039030,이오테크닉스,D,C,D,D
294090,이오플로우,C,D,C,B
084680,이월드,D,D,D,D
000760,이화산업,D,C,D,D
014990,인디에프,D,D,D,C
101140,인바이오젠,D,D,D,D
060150,인선이엔티,C,C,C,C
006490,인스코비,D,D,D,D
023800,인지컨트롤스,C,C,C,C
034590,인천도시가스,B,D,B,B+
216050,인크로스,B,D,C,B+
049070,인탑스,B,C,B+,B
129260,인터지스,C,C,C,C
051370,인터플렉스,C,C,B,C
189300,인텔리안테크,C,B,B,C
023810,인팩,C,C,D,C
249420,일동제약,A,A,A,B+
000230,일동홀딩스,B+,A,A,B+
013360,일성건설,D,C,D,D
003120,일성아이에스,D,D,D,C
003200,일신방직,D,C,C,D
007110,일신석재,D,D,D,D
007570,일양약품,C,D,C,B+
008500,일정실업,D,D,D,D
