date	title	content	url
2025.06.27	세 창구에서 연일매수	하는데,. 개인들로 잡히는것같은데, 아몰의 우군 NH,삼성,키움.. 미래까지하면 네곳. 오늘도 공매물량 열심히 받아챙겼는데 차주에는 차주에는 화끈하게 부탁해요.	https://finance.naver.com/item/board_read.naver?code=090430&nid=305296652&st=&sw=&page=3
2025.06.27	나선 보니 풍수에서 말하는 비룡 입수각	아주 아주 중요	https://finance.naver.com/item/board_read.naver?code=090430&nid=305295654&st=&sw=&page=3
2025.06.27	내가 게시판 보면서 계속 연구하는데	다른 게시판 몇군데 계속 보는데아몰은 이번에 아작난다지금 몇몇 벌레 다죽이고 올라간다그건 지들이 알거야	https://finance.naver.com/item/board_read.naver?code=090430&nid=305294108&st=&sw=&page=3
2025.06.27	차트는 100퍼야	아몰은 스마트한 종목이야기본만 지키면 반드시 먹고 나와트럼프 미국 취임식 미국 주가 고점찍고 비트코인 고점찍고 1월 31일까지 반등하다 떨어졌다 최근 반등했지주식 시장의 격언 박수칠때 떠나라 왜 이 기본적인 사항은 모르냐다음주 폭락이야그래야 세력이 물량사고 다시 올리지 개미가 다시 사서 물량올리니다음주는 손절도 늦었다	https://finance.naver.com/item/board_read.naver?code=090430&nid=305293492&st=&sw=&page=3
2025.06.27	내가 회계 경제 전공이지만	뭔 상법이 주식하고 연관있다고 선동질이냐	https://finance.naver.com/item/board_read.naver?code=090430&nid=305292830&st=&sw=&page=3
2025.06.27	20만	가즈아!	https://finance.naver.com/item/board_read.naver?code=090430&nid=305291615&st=&sw=&page=3
2025.06.27	어제 팔았읍니다.	한동안 오르지 않을것같기에-10%보고 팔았네요 햐다른걸로 ㅃㄹ 복구해야겠어요	https://finance.naver.com/item/board_read.naver?code=090430&nid=305290381&st=&sw=&page=3
2025.06.27	공매  기관 외인놈들  다같이 한통속이네 ㅋ	그래도 결국은 실적따라 오르겠지	https://finance.naver.com/item/board_read.naver?code=090430&nid=305289800&st=&sw=&page=3
2025.06.27	코스피 전형적인 흑삼병 그아래 갭 메꾸고 하락	다음주초 2프로 하락 오늘 나스닥 최고점찍고 하락하면 폭락 시작 전조 아니냐눈에다 보이잔아	https://finance.naver.com/item/board_read.naver?code=090430&nid=305289077&st=&sw=&page=3
2025.06.27	작년이맘때 가격17만원정도 실적도개판	현재실적 양호 3분기도 더실적좋게봄그런데 주가는13만원초반멋지다잘한다그냥 다음주 삼성전자 팔고아모레퍼시픽 몰빵 한다두고봐라	https://finance.naver.com/item/board_read.naver?code=090430&nid=305288875&st=&sw=&page=3
2025.06.27	R의 공포	미국 2분기 gdp 8월 30 일 추정치 발표 2분기 연속 gdp 하락 경기 침체로 봄미국 18번 있었음이걸로 한건 크게 할것임	https://finance.naver.com/item/board_read.naver?code=090430&nid=305288589&st=&sw=&page=3
2025.06.27	차트가 꼬꾸리 탕	그냥 들고 계세유손해보고 팔지 못하잔수	https://finance.naver.com/item/board_read.naver?code=090430&nid=305288119&st=&sw=&page=3
2025.06.27	정규장 30 만주 중에	14만주가 공매도 ㅋㅋㅋ이정도면 거래량대비 역대급이네 ㅋㅋ	https://finance.naver.com/item/board_read.naver?code=090430&nid=305287613&st=&sw=&page=3
